slug,googleBusinessId
a-casa-do-porco-restaurant,ChIJK76a5E5YzpQRCoY7nm1M3-k
albi-restaurant-2,ChIJ240L8N25t4kRCoGiQ2-21bI
alquimico-2,ChIJ7zMvlZ8v9o4RWCwfENTkEbc
annalena-restaurant-2,ChIJJ_oZQcpzhlQRYmMyGpKp7PA
argo-2,ChIJa0m0W30BBDQRJIxB7UyZMIU
arpege-restaurant-2,ChIJQ-oAFypw5kcR2T9NszPcZO4
attaboy,ChIJDbQMBIdZwokRVS4L8B8V5SA
bar-benfiddich-3,ChIJZUTGW9GMGGAROJ7G4sU221Q
cham-bar-2,ChIJxWShw9-jfDURS80cyKrrVI4
bar-leone-3,ChIJqyyPsGUBBDQRE5twNod5Lk8
bar-nouveau-2,ChIJ4YqD5chv5kcRf4-j_pVUvnc
bar-pompette,ChIJp6yGSxc1K4gRjEPJXU-EXoY
bar-snack,ChIJW5JA_yVZwokRrVVE7_Vb7CA
bar-spirit-forward-2,ChIJk1UT0hoXrjsRnVPEieFPPfQ
bar-trigona-2,ChIJ1Xns2Zw3zDERT_IUhj_v3y4
barc-2,ChIJk69vp84Z6zkRynQgHUXXUaQ
benu-restaurant-2,ChIJSToWqn2AhYAR1CuH2iGMvuo
best-intentions,ChIJOX_c02nND4gRhZNyBsxxB2E
bisous,ChIJ5fYLgnctDogR2Oi8Z14g8pw
botanist-bar,ChIJJYVOCYNxhlQRrkWpvkO-Ao4
cafe-la-trova,ChIJZzgtHTW32YgR-k9p8IqD5m0
caprice-restaurant-2,ChIJzbDWTWIABDQRfEbzv7wxi40
caretakers-cottage-2,ChIJI_RgtUND1moRnACbclQN7Bg
carrots-bar-2,ChIJT9o3eCLxaS4RA004mF0ke48
coa-3,ChIJ__9zd3wABDQR9jco3PBl3bg
corima-restaurant-2,ChIJgaiXlpNbwokRN0vlYTshs-c
crizia-restaurant,ChIJ02MiFom1vJURSNqKehH_raQ
cure,ChIJuwqeNamlIIYRiCYSjKciG5c
danico-2,ChIJP-sdWztu5kcRmKJqBJVhzfw
dianes-place-restaurant-2,ChIJ-QOCaQAzs1IRuQH66gGRBEw
diverxo-restaurant-2,ChIJfUIagAMpQg0RRYLx9K82nJc
don-restaurant-2,ChIJoYl36oa1vJURWWhqD9z3UV8
double-chicken-please-3,ChIJI25hF09ZwokRnmmiXXONRf4
edulis-restaurant-2,ChIJFeOAJx41K4gROrzCzqa777M
el-chato-restaurant,ChIJQclc-kSaP44RJgBygHivOB4
el-preferido-de-palermo-restaurant,ChIJRazshIa1vJURczNt-pu4coU
emerils-restaurant-2,ChIJp6mGj3GmIIYRfS0qjpoGsmo
enigma-restaurant-2,ChIJA6vUunyipBIRMtoRD_vIbII
estro-restaurant-2,ChIJUVwefskBBDQRLp-GyShVfyA
evvai-restaurant,ChIJ15xqwHlXzpQR-wSlgx8ckJM
frantzen-restaurant-2,ChIJhwomM2edX0YR9gW2q53gJRg
friday-saturday-sunday-restaurant-2,ChIJf7rSRDjGxokR1cJYp_u6uv8
gokan-2,ChIJR5ZeewABBDQRSqwvf8DTOxY
gramercy-tavern-restaurant-2,ChIJvSQIgqFZwokRFYQbJdzceSs
gus-sip-dip,ChIJafbdjLEsDogRbvlpF3IWJqM
himkok-2,ChIJUyV7KGJuQUYRohEJQ-fnslw
holbox-restaurant-2,ChIJMc9-jgrIwoARvFaE32ZlJzA
huniik-restaurant,ChIJG_gayOp2Vo8R7ZP4TYIkEDc
ikoyi-restaurant-2,ChIJkw2CZtEEdkgRgiNBxbdniHE
jewel-of-the-south-3,ChIJMwXLyuCnIIYRlJ9qpEg6tpI
jungsik-restaurant-2,ChIJpSTN0R9awokRI29rK_SfbeA
kabawa-restaurant-2,ChIJ685zLlZZwokRiEoiYj-Iyvg
kalaya-restaurant-2,ChIJLcLGB3jHxokRtTTgXtRPs34
kato-restaurant-2,ChIJnd0gSmi7woARCdXsW5usqKU
kol-restaurant-2,ChIJvfnOCgUbdkgR3FvbixhS2cw
kumiko,ChIJVVVFV88sDogRIs6NMpEi61s
la-factoria,ChIJc9aTvp5oA4wRiQJndEa2cVg
lamp-bar-2,ChIJ68mQxSk6AWARxcziBW9XXqQ
lasai-restaurant-3,ChIJhWl8Qd5_mQAR-xc4FQjSFaQ
le-bernadin-restaurant-2,ChIJV7QQ6kdZwokRax4615zpSGU
le-chamber-2,ChIJ639qa3ikfDURlcK_PQa7PbQ
le-violon-restaurant-2,ChIJ44BODgAbyUwRXj1U9_z8nAw
les-amis-restaurant-2,ChIJR5yDbY0Z2jER6GcsxL56OLk
library-bar,ChIJe1A28Ys1K4gRqgUyNDHkh2w
lido-84-restaurant-2,ChIJx7BJHCKMgUcRA7aurgztHrQ
locavore-nxt-restaurant-2,ChIJy91I5vg90i0RUB8xLPBXcVo
masque-restaurant-2,ChIJ2RdH8orO5zsR9j_YJgVbG64
mimi-kakushi-2,ChIJj-ySLalDXz4RLvs4jx1IGfo
mirate,ChIJm4eLSVPBwoARog2JIXTPCx8
mirror-bar-2,ChIJDWebZPGJbEcRFar4JUg0LkY
moebius-milano-2,ChIJSVm3PfbHhkcRPeDWzSh9BS8
mon-lapin-restaurant-2,ChIJEZybpW0ZyUwRUNE3vXSjTLU
mono-restaurant-2,ChIJCx5dprEBBDQR0ulHVcrC7Os
moon-rabbit-restaurant-2,ChIJ4chOq8y3t4kRcTTAVjo_JxI
mother,ChIJAeETu6Q1K4gRCNiUMnRCgl0
native-2,ChIJeZtTZA0Z2jERd2U9vPqi2Ds
neighborhood-restaurant-2,ChIJq5eqgnsABDQRAxupXLYqR4U
nino-gordo-restaurant,ChIJYRgoqYi1vJURmIm7r39sV6g
nuema-restaurant,ChIJ8Wv4QnmZ1ZERpY0fkRPP5fE
orfali-bros-restaurant-2,ChIJv6Zm1-hDXz4R9c0k9cOGun4
overstory-3,ChIJ_8dmJ0lbwokRIJHQFfXiMNo
pacific-cocktail-haven,ChIJi2fwgI6AhYARglQgXX2A3WU
panda-sons-2,ChIJc8uwh73Hh0gRUxs-kdJ18DU
paradiso-2,ChIJUxwdO_6ipBIRdMGRVDsolaM
pascual-restaurant-2,ChIJnwFICei5t4kRrj34dLKdpxs
penicillin-2,ChIJcT8YnGABBDQRrZTqc7PxIr8
penny-restaurant-2,ChIJIwaq1P5ZwokRmGG4WafDScw
penrose-2,ChIJS0y677RJzDERvxxFFqGh7eg
piazza-duomo-restaurant-2,ChIJSw-GLl2z0hIRX8zyKXltoq8
prophecy,ChIJFQ_bNvpxhlQRGTjg2X-ex78
providence-restaurant-2,ChIJaUBtetO-woARqyrV4ASPECg
published-on-main-restaurant-2,ChIJWx0eDi9zhlQRtAITySyE3oE
quetzal-restaurant-2,ChIJz7oN7gU1K4gRtjOP6_CCSiU
reale-restaurant-2,ChIJnxxH1W96MBMRSkUGag8Oltc
roda-huset-2,ChIJD9TAUaGdX0YRiCmb4VoK9gY
sabayon-restaurant-2,ChIJgeCnhmwbyUwRKqn8ePtEY2k
saison-restaurant-2,ChIJPUo32Aj3MhURXL06eVIEoHc
salmon-guru-2,ChIJxaAzu4EoQg0RtvLumbkqOe4
satans-whiskers-2,ChIJf9GjdNscdkgRPi-9Fxb6iDo
scarfes-bar-2,ChIJi-8-gTUbdkgRlnM1J18fB24
schmuck,ChIJq2X9dwBZwokRdlXSC222znQ
selva,ChIJcbpk5Kwjx4URY3b98-scmEA
semma-restaurant-2,ChIJxZmzO7hZwokRx2fls4uU4YU
septime-restaurant-2,ChIJE6kCUghy5kcRmWSg3RUHIwM
sikwa-restaurant,ChIJuZr6vcjjoI8RzMNa0WRoeRU
singlethread-restaurant-2,ChIJ8TVwjTMXhIARQ5MLkvMyVvY
sip-guzzle-3,ChIJ49KsB19ZwokR8VwrMbECQr8
sips-2,ChIJVeGtVgijpBIRGhWNVpFekW0
smyth-restaurant-2,ChIJxRcpzSctDogRBKHyFUKauHc
soka-2,ChIJC4jSzucVrjsR_TuLOhxNGCk
superbueno-3,ChIJbXN71WhZwokRNTk55-ScVWY
svanen-2,ChIJD_-Fb2pvQUYRjcMxOgNFm2c
tatiana-by-kwame-onwuachi-restaurant-2,ChIJxy0SM0xZwokR5vC0f4wVlP0
tayer-elementary-2,ChIJP72YPh8ddkgRHAMOeJp_gEI
the-bellwood-2,ChIJV-2UmpGNGGARRwdj9J5VgdE
the-cambridge-public-house-2,ChIJf1PlS6hv5kcRfxnt_fDSpyE
the-chairman-restaurant-3,ChIJhcOtY3wABDQR39uGw41EIYM
the-keefer-bar,ChIJ9dpVvXpxhlQRpw50KX2udjk
the-savory-project-2,ChIJQdmKoKMBBDQRWLj35FF1heg
torrisi-restaurant-2,ChIJWd7fRdZZwokRhru5tn4KsVM
tres-monos-2,ChIJo7CuuHu1vJUR9DoRRpMQDNs
trescha-restaurant,ChIJ1Rgp0JfLvJURz9KmgBEdyAM
true-laurel,ChIJz2enRzd-j4ARkM49V6yDT2U
tuju-restaurant,ChIJm2pQ-1dXzpQRLcFNxi6yWeI
uliassi-restaurant-2,ChIJcR28_J1zLRMRk_P3vABNEog
vender-2,ChIJ99j4kaw9aTQR1G3kt0X5Txk
virtu-3,ChIJlbohVy2NGGARYM9c0wZX34I
wild-ble-restaurant-2,ChIJC42-bvsjh1QRt0dkdZ2Rf5o
zest-3,ChIJ9eN6-_GlfDUR5SGWDB7YNkw
zlb23-2,ChIJHV4ZFAAVrjsRxF3kP-6b7oo